id,name,location,official_url,legacy_lat,legacy_lng,lat,lng,coordinate_source,coordinate_status
shindo-distillery,SHINDO DISTILLERY,福岡県朝倉市杷木林田680-3,https://shindo-lab.jp/distillery/,33.396,130.707,,,none,approx
record,小諸蒸留所,長野県小諸市甲4630-1,https://komorodistillery.com/visit/,36.3258,138.4234,,,none,approx
setouchi-distillery,SETOUCHI DISTILLERY,広島県呉市本通7-9-10,https://setouchidistillery.com/,34.2478,132.5652,,,none,approx
record,尾鈴山蒸留所,宮崎県児湯郡木城町石河内字倉ノ又656-17,https://osuzuyama.co.jp/,32.2005,131.403,,,none,approx
record,久住蒸溜所,大分県竹田市久住町白丹7571-23,https://kujudistillery.jp/,33.0297,131.2485,,,none,approx
sakurao-distillery,SAKURAO DISTILLERY,広島県廿日市市桜尾1-12-1,https://www.sakuraodistillery.com/fieldtrip/,34.3505,132.3218,,,none,approx
record,ニセコ蒸溜所,北海道虻田郡ニセコ町ニセコ478-15,https://niseko-distillery.com/reservation/,42.8068,140.6824,,,none,approx
record,日置蒸溜蔵,鹿児島県日置市日吉町日置3309,https://www.komasa.co.jp/visit,31.6302,130.3198,,,none,approx
record,東京リバーサイド蒸溜所,東京都台東区蔵前3-9-3,https://ethicalspirits.jp,35.705,139.7922,,,none,approx
record,三國蒸溜所,大阪府大阪市東成区東小橋1-16-24,https://mikunidistillery.jp/news/reserve/,34.6695,135.5418,,,none,approx
record,丹丘蒸留所,北海道上川郡東川町西2号北23,https://tankyudistillery.jp/ja/tour,43.698,142.5107,,,none,approx
record,東京八王子蒸溜所,東京都八王子市椚田町1213-5,https://www.hachioji-distillery.jp,35.6428,139.2988,,,none,approx
record,小城蒸溜所,佐賀県小城市小城町岩蔵2575-3,https://ogidistillery.jp/,33.2632,130.1968,,,none,approx
record,野沢温泉蒸留所,長野県下高井郡野沢温泉村豊郷9394,https://nozawaonsendistillery.jp/,36.9202,138.4446,,,none,approx
record,沼津蒸留所,静岡県沼津市大手町5-6-7周辺,https://www.flavour.jp/NumazuDistillery,35.1024,138.8586,,,none,approx
record,深川蒸留所,東京都江東区平野2-3-15,https://fukagawa-distillery.tokyo/,35.6814,139.799,,,none,approx
record,虎ノ門蒸留所,東京都港区虎ノ門3丁目18-19 UD神谷町ビル1F,https://toranomondistillery.jp/,35.6658,139.7476,,,none,approx
blue-rabbit-distillery,Blue Rabbit Distillery,東京都大田区田園調布本町29-2 ウェル田園調布102,https://www.bluerabbitdistillery.com/,35.588,139.6821,,,none,approx
record,羽田ブルワリー,東京都大田区蒲田本町1-11-7,https://haneda-brewery.com/,35.5621,139.7158,,,none,approx
record,紅櫻蒸溜所,北海道札幌市南区澄川389-6,https://www.hlwhisky.co.jp/,43.0015,141.3438,,,none,approx
record,積丹スピリット,北海道積丹郡積丹町美国町字小泊9-13,https://shakotan-spirit.co.jp/,43.2675,140.6002,,,none,approx
record,京丹後舞輪源蒸留所,京都府京丹後市弥栄町黒部3123,https://mairingen.jp/,35.6545,135.0933,,,none,approx
alembic-distillery,Alembic Distillery,石川県金沢市大野町1丁目38-5,https://www.alembic.jp/,36.6032,136.5921,,,none,approx
record,楠乃花蒸溜所,佐賀県佐賀市諸富町大字為重214-4,https://stilldam.saga.jp/,33.2165,130.35,,,none,approx
record,五島つばき蒸溜所,長崎県五島市上大津町2413,https://gotogin.jp/,32.7126,128.8538,,,none,approx
